City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-06-13 20:09:56,-21.2,-175.2,75.36,78,20,5.75
1,Nikolskoye,RU,2021-06-13 20:09:56,59.7035,30.7861,62.49,92,100,6.02
2,Eyl,SO,2021-06-13 20:09:57,7.9803,49.8164,79.32,75,100,22.93
3,Mataura,NZ,2021-06-13 20:09:57,-46.1927,168.8643,51.22,99,100,3.22
4,Dubbo,AU,2021-06-13 20:09:57,-32.25,148.6167,37.53,87,90,6.91
5,Talnakh,RU,2021-06-13 20:09:58,69.4865,88.3972,36.82,91,100,8.32
6,Vardo,NO,2021-06-13 20:09:58,70.3705,31.1107,50.2,71,0,8.05
7,Yellowknife,CA,2021-06-13 20:07:07,62.456,-114.3525,62.56,67,100,13.0
8,Busselton,AU,2021-06-13 20:09:58,-33.65,115.3333,57.09,76,93,27.0
9,Avarua,CK,2021-06-13 20:09:59,-21.2078,-159.775,77.05,61,75,11.5
10,Okha,RU,2021-06-13 20:09:59,53.5739,142.9478,42.46,77,100,9.42
11,Pisco,PE,2021-06-13 20:05:48,-13.7,-76.2167,68.05,64,20,10.36
12,Batemans Bay,AU,2021-06-13 20:09:59,-35.7167,150.1833,52.2,82,99,3.4
13,Puerto Ayora,EC,2021-06-13 20:10:00,-0.7393,-90.3518,80.56,84,75,8.99
14,Hamilton,US,2021-06-13 20:05:45,39.1834,-84.5333,89.53,63,1,5.01
15,Saskylakh,RU,2021-06-13 20:10:00,71.9167,114.0833,39.47,61,6,11.65
16,Atuona,PF,2021-06-13 20:10:00,-9.8,-139.0333,79.99,77,86,20.62
17,Nyzhnya Duvanka,UA,2021-06-13 20:10:01,49.5846,38.1743,62.94,84,48,3.67
18,Hilo,US,2021-06-13 20:08:41,19.7297,-155.09,80.11,78,96,3.0
19,Lambarene,GA,2021-06-13 20:10:03,-0.7001,10.2406,76.17,92,45,3.2
20,Chapais,CA,2021-06-13 20:10:06,49.7834,-74.8492,74.37,18,100,4.79
21,Asau,RO,2021-06-13 20:10:06,46.4333,26.4,54.52,80,100,2.04
22,Suntar,RU,2021-06-13 20:06:27,62.1444,117.6319,48.67,62,58,4.05
23,Ushuaia,AR,2021-06-13 20:10:07,-54.8,-68.3,38.86,81,75,25.32
24,San Cristobal,VE,2021-06-13 20:10:07,7.7669,-72.225,82.58,56,100,5.82
25,Qaanaaq,GL,2021-06-13 20:10:08,77.484,-69.3632,37.81,79,98,2.04
26,Hasaki,JP,2021-06-13 20:10:08,35.7333,140.8333,70.29,89,100,11.52
27,Murgab,TM,2021-06-13 20:10:08,37.4966,61.9714,82.27,26,0,6.91
28,Albany,US,2021-06-13 20:06:26,42.6001,-73.9662,84.02,46,45,7.85
29,Hermanus,ZA,2021-06-13 20:10:08,-34.4187,19.2345,54.9,88,73,2.82
